"{""Voters"":[{""Id"":634,""DisplayName"":""DVK""},{""Id"":9685,""DisplayName"":""bilbo_pingouin""},{""Id"":2947,""DisplayName"":""ckersch""},{""Id"":6986,""DisplayName"":""Frostfyre""},{""Id"":885,""DisplayName"":""JDługosz""}]}",2015-07-10 22:25:48,104,<religion><artificial-intelligence>,10
"{""Voters"":[{""Id"":19,""DisplayName"":""bowlturner""},{""Id"":627,""DisplayName"":""HDE 226868""},{""Id"":147,""DisplayName"":""Vincent""},{""Id"":10364,""DisplayName"":""Green""},{""Id"":189,""DisplayName"":""James""}]}",2015-07-22 18:19:34,,<religion><artificial-intelligence>,11
"{""Voters"":[{""Id"":17551,""DisplayName"":""Bryan McClure""},{""Id"":19,""DisplayName"":""bowlturner""},{""Id"":189,""DisplayName"":""James""},{""Id"":6454,""DisplayName"":""mjr""},{""Id"":16186,""DisplayName"":""Hohmannfan""}]}",2016-03-08 16:48:29,103,<economy><time-travel><secret-society>,10
"{""OriginalQuestionIds"":[2657],""Voters"":[{""Id"":2072,""DisplayName"":""Shokhet""},{""Id"":310,""DisplayName"":""zovits""},{""Id"":885,""DisplayName"":""JDługosz""},{""Id"":7000,""DisplayName"":""Burki""},{""Id"":2685,""DisplayName"":""ArtOfCode""}]}",2015-07-13 12:14:55,101,<climate><day-night>,10
"{""Voters"":[{""Id"":49,""DisplayName"":""Tim B""}]}",2015-07-15 22:05:00,104,<religion>,10
"{""Voters"":[{""Id"":147,""DisplayName"":""Vincent""},{""Id"":189,""DisplayName"":""James""},{""Id"":9685,""DisplayName"":""bilbo_pingouin""},{""Id"":6453,""DisplayName"":""Aify""},{""Id"":6986,""DisplayName"":""Frostfyre""}]}",2015-07-13 16:05:02,105,<technology><space><spaceships>,10
"{""Voters"":[{""Id"":634,""DisplayName"":""DVK""},{""Id"":19,""DisplayName"":""bowlturner""},{""Id"":6986,""DisplayName"":""Frostfyre""},{""Id"":7886,""DisplayName"":""Jim2B""},{""Id"":9685,""DisplayName"":""bilbo_pingouin""}]}",2015-07-14 09:06:43,104,<religion>,10
"{""Voters"":[{""Id"":9685,""DisplayName"":""bilbo_pingouin""},{""Id"":6986,""DisplayName"":""Frostfyre""},{""Id"":310,""DisplayName"":""zovits""},{""Id"":7000,""DisplayName"":""Burki""},{""Id"":19,""DisplayName"":""bowlturner""}]}",2015-07-14 12:36:44,104,<biology><evolution><hard-science><colonization><population>,10
"{""Voters"":[{""Id"":3096,""DisplayName"":""SJuan76""},{""Id"":6986,""DisplayName"":""Frostfyre""},{""Id"":8316,""DisplayName"":""Marv Mills""},{""Id"":7000,""DisplayName"":""Burki""},{""Id"":7886,""DisplayName"":""Jim2B""}]}",2015-07-14 12:59:26,102,<magic><aliens><religion>,10
"{""Voters"":[{""Id"":809,""DisplayName"":""Mołot""},{""Id"":22649,""DisplayName"":""Azuaron""},{""Id"":13702,""DisplayName"":""James K""},{""Id"":13449,""DisplayName"":""Youstay Igo""},{""Id"":30492,""DisplayName"":""L.Dutch""}]}",2017-07-12 02:59:50,104,<near-future><internet>,10
"{""Voters"":[{""Id"":147,""DisplayName"":""Vincent""},{""Id"":3510,""DisplayName"":""Serban Tanasa""},{""Id"":627,""DisplayName"":""HDE 226868""},{""Id"":9685,""DisplayName"":""bilbo_pingouin""},{""Id"":6453,""DisplayName"":""Aify""}]}",2015-07-15 20:41:06,104,<planets><stars>,10
"{""Voters"":[{""Id"":6402,""DisplayName"":""o.m.""},{""Id"":7000,""DisplayName"":""Burki""},{""Id"":9685,""DisplayName"":""bilbo_pingouin""},{""Id"":310,""DisplayName"":""zovits""},{""Id"":3276,""DisplayName"":""Mikey""}]}",2015-07-17 08:40:28,104,<religion><alternate-history><history>,10
"{""OriginalQuestionIds"":[4679],""Voters"":[{""Id"":-1,""DisplayName"":""Community"",""BindingReason"":{""DuplicateApprovedByAsker"":""""}}]}",2015-07-16 20:51:17,101,<planets><space>,10
"{""Voters"":[{""Id"":3407,""DisplayName"":""2012rcampion""},{""Id"":6507,""DisplayName"":""DaaaahWhoosh""},{""Id"":1989,""DisplayName"":""Scott Downey""},{""Id"":6453,""DisplayName"":""Aify""},{""Id"":2947,""DisplayName"":""ckersch""}]}",2015-07-21 22:10:13,102,<apocalypse><hard-science><cataclysms>,10
"{""Voters"":[{""Id"":3510,""DisplayName"":""Serban Tanasa""},{""Id"":627,""DisplayName"":""HDE 226868""},{""Id"":9685,""DisplayName"":""bilbo_pingouin""},{""Id"":189,""DisplayName"":""James""},{""Id"":6453,""DisplayName"":""Aify""}]}",2015-07-27 20:46:43,102,<weapons><martial-arts><towels>,10
"{""Voters"":[{""Id"":72,""DisplayName"":""Chad""},{""Id"":19,""DisplayName"":""bowlturner""},{""Id"":49,""DisplayName"":""Tim B""},{""Id"":16,""DisplayName"":""Nick Wilde""},{""Id"":45,""DisplayName"":""Stendika""}]}",2014-09-17 18:49:44,104,<law>,10
"{""Voters"":[{""Id"":60,""DisplayName"":""Wesley Obenshain""},{""Id"":16,""DisplayName"":""Nick Wilde""},{""Id"":81,""DisplayName"":""DonyorM""},{""Id"":9,""DisplayName"":""Mourdos""},{""Id"":72,""DisplayName"":""Chad""}]}",2014-09-17 14:24:11,104,<magic><ethics><law><modern-age>,10
